00001 A00     0 Cholera                                                      Cholera
02781 C9311   1 Chronic myelomonocytic leukemia, in remission                Chronic myelomonocytic leukemia, in remission
02782 C9312   1 Chronic myelomonocytic leukemia, in relapse                  Chronic myelomonocytic leukemia, in relapse
02783 C933    0 Juvenile myelomonocytic leukemia                             Juvenile myelomonocytic leukemia
02784 C9330   1 Juvenile myelomonocytic leukemia, not achieve remission      Juvenile myelomonocytic leukemia, not having achieved remission
02785 C9331   1 Juvenile myelomonocytic leukemia, in remission               Juvenile myelomonocytic leukemia, in remission
02786 C9332   1 Juvenile myelomonocytic leukemia, in relapse                 Juvenile myelomonocytic leukemia, in relapse
02787 C93Z    0 Other monocytic leukemia                                     Other monocytic leukemia
02788 C93Z0   1 Other monocytic leukemia, not having achieved remission      Other monocytic leukemia, not having achieved remission
02789 C93Z1   1 Other monocytic leukemia, in remission                       Other monocytic leukemia, in remission
02790 C93Z2   1 Other monocytic leukemia, in relapse                         Other monocytic leukemia, in relapse
02791 C939    0 Monocytic leukemia, unspecified                              Monocytic leukemia, unspecified
02792 C9390   1 Monocytic leukemia, unsp, not having achieved remission      Monocytic leukemia, unspecified, not having achieved remission
02793 C9391   1 Monocytic leukemia, unspecified in remission                 Monocytic leukemia, unspecified in remission
02794 C9392   1 Monocytic leukemia, unspecified in relapse                   Monocytic leukemia, unspecified in relapse
02795 C94     0 Other leukemias of specified cell type                       Other leukemias of specified cell type
02796 C940    0 Acute erythroid leukemia                                     Acute erythroid leukemia
02797 C9400   1 Acute erythroid leukemia, not having achieved remission      Acute erythroid leukemia, not having achieved remission
02798 C9401   1 Acute erythroid leukemia, in remission                       Acute erythroid leukemia, in remission
02799 C9402   1 Acute erythroid leukemia, in relapse                         Acute erythroid leukemia, in relapse
02800 C942    0 Acute megakaryoblastic leukemia                              Acute megakaryoblastic leukemia
02801 C9420   1 Acute megakaryoblastic leukemia not achieve remission        Acute megakaryoblastic leukemia not having achieved remission
02802 C9421   1 Acute megakaryoblastic leukemia, in remission                Acute megakaryoblastic leukemia, in remission
02803 C9422   1 Acute megakaryoblastic leukemia, in relapse                  Acute megakaryoblastic leukemia, in relapse
02804 C943    0 Mast cell leukemia                                           Mast cell leukemia
02805 C9430   1 Mast cell leukemia not having achieved remission             Mast cell leukemia not having achieved remission
02806 C9431   1 Mast cell leukemia, in remission                             Mast cell leukemia, in remission
02807 C9432   1 Mast cell leukemia, in relapse                               Mast cell leukemia, in relapse
02808 C944    0 Acute panmyelosis with myelofibrosis                         Acute panmyelosis with myelofibrosis
02809 C9440   1 Acute panmyelosis w myelofibrosis not achieve remission      Acute panmyelosis with myelofibrosis not having achieved remission
02810 C9441   1 Acute panmyelosis with myelofibrosis, in remission           Acute panmyelosis with myelofibrosis, in remission
02811 C9442   1 Acute panmyelosis with myelofibrosis, in relapse             Acute panmyelosis with myelofibrosis, in relapse
02812 C946    1 Myelodysplastic disease, not elsewhere classified            Myelodysplastic disease, not elsewhere classified
02813 C948    0 Other specified leukemias                                    Other specified leukemias
02814 C9480   1 Other specified leukemias not having achieved remission      Other specified leukemias not having achieved remission
02815 C9481   1 Other specified leukemias, in remission                      Other specified leukemias, in remission
02816 C9482   1 Other specified leukemias, in relapse                        Other specified leukemias, in relapse
02817 C95     0 Leukemia of unspecified cell type                            Leukemia of unspecified cell type
02818 C950    0 Acute leukemia of unspecified cell type                      Acute leukemia of unspecified cell type
02819 C9500   1 Acute leukemia of unsp cell type not achieve remission       Acute leukemia of unspecified cell type not having achieved remission
02820 C9501   1 Acute leukemia of unspecified cell type, in remission        Acute leukemia of unspecified cell type, in remission
02821 C9502   1 Acute leukemia of unspecified cell type, in relapse          Acute leukemia of unspecified cell type, in relapse
02822 C951    0 Chronic leukemia of unspecified cell type                    Chronic leukemia of unspecified cell type
02823 C9510   1 Chronic leukemia of unsp cell type not achieve remission     Chronic leukemia of unspecified cell type not having achieved remission
02824 C9511   1 Chronic leukemia of unspecified cell type, in remission      Chronic leukemia of unspecified cell type, in remission
02825 C9512   1 Chronic leukemia of unspecified cell type, in relapse        Chronic leukemia of unspecified cell type, in relapse
02826 C959    0 Leukemia, unspecified                                        Leukemia, unspecified
02827 C9590   1 Leukemia, unspecified not having achieved remission          Leukemia, unspecified not having achieved remission
02828 C9591   1 Leukemia, unspecified, in remission                          Leukemia, unspecified, in remission
02829 C9592   1 Leukemia, unspecified, in relapse                            Leukemia, unspecified, in relapse
02830 C96     0 Oth & unsp malig neoplm of lymphoid, hematpoetc and rel tiss Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue
02831 C960    1 Multifocal and multisystemic Langerhans-cell histiocytosis   Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis
02832 C962    0 Malignant mast cell neoplasm                                 Malignant mast cell neoplasm
02833 C9620   1 Malignant mast cell neoplasm, unspecified                    Malignant mast cell neoplasm, unspecified
02834 C9621   1 Aggressive systemic mastocytosis                             Aggressive systemic mastocytosis
02835 C9622   1 Mast cell sarcoma                                            Mast cell sarcoma
02836 C9629   1 Other malignant mast cell neoplasm                           Other malignant mast cell neoplasm
02837 C964    1 Sarcoma of dendritic cells (accessory cells)                 Sarcoma of dendritic cells (accessory cells)
02838 C965    1 Multifocal and unisystemic Langerhans-cell histiocytosis     Multifocal and unisystemic Langerhans-cell histiocytosis
02839 C966    1 Unifocal Langerhans-cell histiocytosis                       Unifocal Langerhans-cell histiocytosis
02840 C96A    1 Histiocytic sarcoma                                          Histiocytic sarcoma
02841 C96Z    1 Oth malig neoplm of lymphoid, hematpoetc and related tissue  Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue
02842 C969    1 Malig neoplm of lymphoid, hematpoetc and rel tissue, unsp    Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified
02843 D00     0 Carcinoma in situ of oral cavity, esophagus and stomach      Carcinoma in situ of oral cavity, esophagus and stomach
02844 D000    0 Carcinoma in situ of lip, oral cavity and pharynx            Carcinoma in situ of lip, oral cavity and pharynx
02845 D0000   1 Carcinoma in situ of oral cavity, unspecified site           Carcinoma in situ of oral cavity, unspecified site
02846 D0001   1 Carcinoma in situ of labial mucosa and vermilion border      Carcinoma in situ of labial mucosa and vermilion border
02847 D0002   1 Carcinoma in situ of buccal mucosa                           Carcinoma in situ of buccal mucosa
02848 D0003   1 Carcinoma in situ of gingiva and edentulous alveolar ridge   Carcinoma in situ of gingiva and edentulous alveolar ridge
02849 D0004   1 Carcinoma in situ of soft palate                             Carcinoma in situ of soft palate
02850 D0005   1 Carcinoma in situ of hard palate                             Carcinoma in situ of hard palate
02851 D0006   1 Carcinoma in situ of floor of mouth                          Carcinoma in situ of floor of mouth
02852 D0007   1 Carcinoma in situ of tongue                                  Carcinoma in situ of tongue
02853 D0008   1 Carcinoma in situ of pharynx                                 Carcinoma in situ of pharynx
02854 D001    1 Carcinoma in situ of esophagus                               Carcinoma in situ of esophagus
02855 D002    1 Carcinoma in situ of stomach                                 Carcinoma in situ of stomach
02856 D01     0 Carcinoma in situ of other and unspecified digestive organs  Carcinoma in situ of other and unspecified digestive organs
02857 D010    1 Carcinoma in situ of colon                                   Carcinoma in situ of colon
02858 D011    1 Carcinoma in situ of rectosigmoid junction                   Carcinoma in situ of rectosigmoid junction
02859 D012    1 Carcinoma in situ of rectum                                  Carcinoma in situ of rectum
02860 D013    1 Carcinoma in situ of anus and anal canal                     Carcinoma in situ of anus and anal canal
02861 D014    0 Carcinoma in situ of other and unsp parts of intestine       Carcinoma in situ of other and unspecified parts of intestine
02862 D0140   1 Carcinoma in situ of unspecified part of intestine           Carcinoma in situ of unspecified part of intestine
02863 D0149   1 Carcinoma in situ of other parts of intestine                Carcinoma in situ of other parts of intestine
02864 D015    1 Carcinoma in situ of liver, gallbladder and bile ducts       Carcinoma in situ of liver, gallbladder and bile ducts
02865 D017    1 Carcinoma in situ of other specified digestive organs        Carcinoma in situ of other specified digestive organs
02866 D019    1 Carcinoma in situ of digestive organ, unspecified            Carcinoma in situ of digestive organ, unspecified
02867 D02     0 Carcinoma in situ of middle ear and respiratory system       Carcinoma in situ of middle ear and respiratory system
02868 D020    1 Carcinoma in situ of larynx                                  Carcinoma in situ of larynx
02869 D021    1 Carcinoma in situ of trachea                                 Carcinoma in situ of trachea
02870 D022    0 Carcinoma in situ of bronchus and lung                       Carcinoma in situ of bronchus and lung
02871 D0220   1 Carcinoma in situ of unspecified bronchus and lung           Carcinoma in situ of unspecified bronchus and lung
02872 D0221   1 Carcinoma in situ of right bronchus and lung                 Carcinoma in situ of right bronchus and lung
02873 D0222   1 Carcinoma in situ of left bronchus and lung                  Carcinoma in situ of left bronchus and lung
02874 D023    1 Carcinoma in situ of other parts of respiratory system       Carcinoma in situ of other parts of respiratory system
02875 D024    1 Carcinoma in situ of respiratory system, unspecified         Carcinoma in situ of respiratory system, unspecified
02876 D03     0 Melanoma in situ                                             Melanoma in situ
02877 D030    1 Melanoma in situ of lip                                      Melanoma in situ of lip
02878 D031    0 Melanoma in situ of eyelid, including canthus                Melanoma in situ of eyelid, including canthus
02879 D0310   1 Melanoma in situ of unspecified eyelid, including canthus    Melanoma in situ of unspecified eyelid, including canthus
02880 D0311   0 Melanoma in situ of right eyelid, including canthus          Melanoma in situ of right eyelid, including canthus
02881 D03111  1 Melanoma in situ of right upper eyelid, including canthus    Melanoma in situ of right upper eyelid, including canthus
02882 D03112  1 Melanoma in situ of right lower eyelid, including canthus    Melanoma in situ of right lower eyelid, including canthus
02883 D0312   0 Melanoma in situ of left eyelid, including canthus           Melanoma in situ of left eyelid, including canthus
02884 D03121  1 Melanoma in situ of left upper eyelid, including canthus     Melanoma in situ of left upper eyelid, including canthus
02885 D03122  1 Melanoma in situ of left lower eyelid, including canthus     Melanoma in situ of left lower eyelid, including canthus
02886 D032    0 Melanoma in situ of ear and external auricular canal         Melanoma in situ of ear and external auricular canal
02887 D0320   1 Melanoma in situ of unsp ear and external auricular canal    Melanoma in situ of unspecified ear and external auricular canal
02888 D0321   1 Melanoma in situ of right ear and external auricular canal   Melanoma in situ of right ear and external auricular canal
02889 D0322   1 Melanoma in situ of left ear and external auricular canal    Melanoma in situ of left ear and external auricular canal
